Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q8CHS8,VPS37A,,0.1164967393828868,,,5.949927733872414,,,,,,,,,
Q8CHT0,ALDH4A1,0.038503190727988,0.044129745450168,0.0470756407079471,18.00233090958083,15.70702875099648,14.7241157026447,-0.1967734198416438,1.0093121750733698,0.3128249429411581,0.6871906779653771,0.0932293047487937,-0.409912288887006,0.681870290357166,0.8948277941479591
Q8CHT1,NGEF,,0.2871793923237247,,,2.41363830096343,,,,,,,,,
Q8CHU3,EPN2,0.0706489676666218,0.0766946418480096,0.0691611469348448,9.811143792373112,9.037752362591336,10.0222048256797,-0.1184573097658326,1.8498560018199648,0.0643343067773529,0.3560241728854448,-0.1491639954694799,1.7696164950465163,0.0767910491112363,0.3505332345440373
Q8CHX7,RFTN2,0.0470065925531385,0.0523834965955246,0.0584849756203699,14.74574400976581,13.232167106217265,11.85171359323482,-0.156249257485978,0.6214749692334738,0.5342871587395348,0.8278638922785213,0.1589536913477524,-0.4716084143321509,0.6372063196312093,0.8737258385747794
Q8CHY6,GATAD2A,0.1568146058338725,0.2116399485647346,0.1399382654864271,4.420169772286753,3.275124499229082,4.953235472446062,-0.4325520327918518,1.2137166764955387,0.2248559339611988,0.6085056823249371,-0.5968214573470265,1.9902136872102436,0.0465674011908111,0.2658383878738195
Q8CI03,FLYWCH1,0.5225930014742369,0.5015766222344414,0.3428397625919351,1.3263613913783276,1.3819367766226591,2.0217817656844064,0.0592176965606116,-0.1462936104358728,0.8836896097265254,0.9679132803691356,-0.548935664686581,1.2152903031321212,0.2242553889907387,0.5776087130744402
Q8CI08,SLAIN2,0.1709901480501073,0.127363758034118,0.1275979677465582,4.053725834290897,5.4422638846308695,5.432274453905962,0.4249583934320117,-1.45390310504314,0.1459731718447669,0.5134349078984394,0.0026505412502484,-0.026066473670969,0.9792043181059978,0.9923454803505184
Q8CI32,BAG5,0.0902573035273473,0.0971907062708124,0.0809674387150099,7.679679687637982,7.131825738857768,8.560813971153175,-0.1067746865650696,0.7315355912206387,0.4644520733362897,0.7971778433129489,-0.263476523947019,1.2551722534406715,0.2094162356871834,0.5562684531871618
Q8CI43,MYL6B,0.0613917570149123,0.0535615176793755,0.0466294050836719,11.29055779249935,12.941141524577258,14.865023032486908,0.1968481195832727,-1.0071561682284342,0.3138597328360324,0.6871906779653771,-0.1999568170530487,0.8597934415553352,0.3899029151695993,0.7395605056077384
Q8CI51,PDLIM5,0.1188907645459733,0.1221119185132938,0.1025090790615904,5.830117950767447,5.676327003940122,6.761812581922448,-0.0385673681923384,0.2785554901552268,0.7805859747863033,0.9383606001514402,-0.2524523263104333,1.7531846918102778,0.0795703098030046,0.3552109840253205
Q8CI61,BAG4,0.1360292992063662,0.1349234001722789,0.138535407395929,5.095572678856423,5.137338517076283,5.003393670897119,0.0117768445601116,-0.0660049384998548,0.9473738936767566,0.985102594685274,0.0381141718416728,-0.39059194585229,0.6960988799370234,0.9027425611744616
Q8CI94,PYGB,0.048891666193345,0.0445399166274184,0.0420658943272918,14.177205125692636,15.56238163529135,16.477652303477587,0.1344897146066407,-0.832496273427474,0.4051288807720337,0.7570511373388775,-0.0824478410808906,0.1837745437982202,0.8541903270966286,0.9521941512070488
Q8CIC2,NUP42,0.1883722449839827,0.135451466873183,,3.679667249381051,5.1173102555538,,0.4758103947048072,-1.4047540451262324,0.1600944286288366,0.5350398158487939,,,,
Q8CIM8,INTS4,0.0365791631259875,0.0360946323350384,,18.949235611885868,19.203608285187627,,0.019237760261843,-0.0916938231518285,0.9269413051285696,0.9833841823994496,,,,
