Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q05793,HSPG2,-0.08368957788335478,0.5771949365073138,0.5638077772250272,0.8412823599343537,0.7416005998909185,-2.4118850544597237,0.015870284007220816,0.14513896412140004
Q05816,FABP5,0.24601613181270204,-4.367694368536332,1.2556503657989885e-05,0.0013202266703257937,0.19171023202289247,-2.9889714107872236,0.002799183220462316,0.051022353459875186
Q05909,PTPRG,0.08239558296599078,-0.40653131072136584,0.6843522558836179,0.8967834390505813,-0.24701469192820572,2.2628397390038772,0.023645570242387542,0.17906946174965693
Q05920,PC,-0.25414864761132727,0.9044489454661573,0.36575739461861523,0.7290384358545723,0.03600407825528485,-0.1339471044615623,0.8934444019003219,0.9680922344829338
Q05A62,DNAL1,-0.21150310560876995,0.5008913287271849,0.6164476054872183,0.8666325720251864,-0.49897409261926257,1.2471109560862201,0.2123568162324182,0.5601387877268277
Q05CL8,LARP7,-0.4895545387306355,1.7284077303853649,0.08391515053323648,0.39857673833910023,-0.42301173857396124,1.301809598221041,0.1929814818616271,0.5364698665700537
Q05D44,EIF5B,-0.1645966705641127,0.5826784058556896,0.5601098127070698,0.8393579073130618,-0.4538232191422893,1.7875076532009297,0.07385547628203591,0.3420541353476139
Q06138,CAB39,-0.20232227008051762,1.3705487336060924,0.17051567367382858,0.5459705516273152,-0.2107499127887217,1.0560743708469675,0.2909342384885284,0.6407826602709839
Q06335,APLP2,0.6999814889067695,-2.984190172835292,0.0028432999275219847,0.06246772378078151,0.11023743352655174,-0.6790167153998113,0.49712727086076447,0.792943498421847
Q06770,SERPINA6,-0.1212399090064019,0.4429595706523534,0.6577949779640215,0.8822821055781862,-0.32616807636729445,1.0988347882555518,0.27184013510739113,0.6264144138077339
Q06890,CLU,-0.19641966893766444,1.0627730138213167,0.28788490035716363,0.6773119217135112,-0.02258319120208281,-0.44208365155981194,0.6584286741641956,0.8824680455456232
Q07079,IGFBP5,-0.15589356174990143,0.5347091251737571,0.5928510105170233,0.8580891715644624,-0.13333362356423467,0.7913417668652963,0.42874458173110197,0.7544420303031308
Q07113,IGF2R,-0.425384352816011,1.745333680629155,0.08092680243817418,0.39008674067036436,-0.12278203647548697,0.332430177180477,0.7395644548586553,0.9232524245400909
Q08093,CNN2,-0.10592717288571807,0.24630963156789584,0.8054425546715459,0.9456232407597336,0.47225924726899343,-2.0265764940573714,0.04270574248820871,0.2509657644004541
Q08288,LYAR,0.02301647299305704,-0.08023219178918499,0.9360525873367439,0.9837108970415078,0.04908045687977022,-0.17264652330672023,0.862929280638533,0.9550762515609895
Q08331,CALB2,-0.0994087156067536,1.841977607766562,0.0654784253454807,0.3589729687469184,-0.12296885650837779,2.037870679647543,0.041562867539228866,0.24741139393284212
Q08509,EPS8,-0.3202137703390386,0.3247498816347302,0.7453703788850978,0.924762569003323,,,,
Q08890,IDS,0.10261011260479794,-0.24419526249669168,0.8070795960047079,0.9460747082285743,-0.3125760952941976,0.7933540992801352,0.4275715455480956,0.7542775802754907
Q08943,SSRP1,-0.16191409753141356,0.7540164558218614,0.4508393406452572,0.7849710795818992,-0.48304945355712425,1.9370911960578707,0.05273419662182241,0.2861940075389664
Q09200,B4GALNT1,0.08062063204473705,-0.2066891792145811,0.8362526086656824,0.9534963903608711,-0.670360974354124,2.488471881157052,0.012829338188350442,0.12652216728287394
Q0KL01,UBXN2B,-0.08587726309196235,0.48255697543540144,0.6294103344392303,0.870269919257807,0.17751994816779437,-1.2249074125351398,0.2206101072389267,0.572611673689051
Q0KL02,TRIO,0.16315752371854955,-0.4265943000420564,0.6696748500838933,0.8903254111612185,,,,
Q0P678,ZC3H18,0.030934453411986407,-0.05493428324801603,0.9561908190236696,0.9867308543177142,-0.5330737464457136,2.7092967387336593,0.00674260052982561,0.08250320926078282
Q0PHV7,DACT3,-0.0767572611665974,0.39737267952796823,0.6910926591052554,0.8990801358397196,0.1373810090938456,-0.7455478248397519,0.45594061087947957,0.7682360971037977
Q0VAV2,EXPH5,-0.6957875283817504,1.6379084842170746,0.10144078585228364,0.4353377165439111,-1.45573527815067,3.635237103042153,0.0002777250864057937,0.010638078309717577
Q0VBD0,ITGB8,-0.7016462674381204,3.1749551637094315,0.0014985965498359125,0.040850631877008575,-0.535131674311221,1.6954157824592948,0.08999657404328705,0.37409148324491925
Q0VBL3,RBM15,-0.02839343724030738,0.10466005914567449,0.9166455560272897,0.9805511034262726,-0.06265398594998606,0.23205408981103595,0.8164960026038124,0.9448331588799808
Q0VE82,CPNE7,,,,,-0.2672043216592612,0.43648432568296547,0.6624853691253607,0.884564447749897
Q0VGB7,PPP4R2,-0.6110303464218548,1.4470658653040762,0.14787847718622732,0.5134673326370255,-0.2873969984506252,0.7861241977591751,0.4317947292764017,0.7572883009140874
Q0VGU4,VGF,-0.20601570027620578,2.0816147130053904,0.037377676416144257,0.2723072181810396,-0.17281786656915843,2.338227357195007,0.019375457065440565,0.16360809272830482
Q11011,NPEPPS,0.08559208293183176,-0.5127155931950073,0.6081502804758376,0.8646296417618661,0.12493787074149479,-1.1012368077571657,0.2707936059106396,0.6264144138077339
