Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
O55143,ATP2A2,-0.1285415982129272,2.850871154785304,0.0043599632769373165,0.04836997706754891,-0.02880188124405086,1.1113039640024602,0.26643753372105383,0.6829138013464353
O55222,ILK,0.3057936342892464,-1.3794459288035963,0.16775730668142852,0.46989547505103796,0.32743199663907463,-1.0805207244240609,0.27991036314922624,0.6861369983972868
O70139,PKIG,-0.4988085059564884,1.808904431715385,0.0704658518062557,0.2886776873996937,-0.28113510890299515,1.0343452098242973,0.3009748086091548,0.7015527314567472
O70194,EIF3D,0.4436616621547745,-0.835994102712303,0.4031582207026928,0.7156020214130725,-0.08016173436788222,0.17823679720786276,0.8585370123783937,0.9712083494440064
O70209,PDLIM3,0.32795214873212986,-2.162833824525007,0.030553963025451925,0.17363593621781215,0.18427839600559479,-0.7498825504851344,0.4533254447597992,0.8116244732665618
O70250,PGAM2,0.13239317227412215,-1.2614776856067484,0.20713679463632684,0.5221407971374511,0.11741963630504927,-1.0314044871168726,0.30235117753065155,0.7027674735148295
O70251,EEF1B,-0.12309085728670675,1.0571397338294377,0.29044781954805066,0.618683292063447,0.19334899510415962,-1.715949306811939,0.08617132106799652,0.4258343504311116
O70252,HMOX2,-0.07615580090953472,0.09767072196502424,0.9221937648577724,0.9770108950575007,-0.023530395040199395,0.19677592757476275,0.8440028898094152,0.9670616326336898
O70305,ATXN2,0.08845955646268067,-0.7326410165177097,0.46377740757112007,0.7596494619618347,0.02641544916387343,-0.3580078866707278,0.72033741150092,0.9298586297499858
O70310,NMT1,-0.04532339113403107,0.09120986927039561,0.927325833099857,0.9776783670238313,-0.1068325732395059,0.21513797712611935,0.8296597456087191,0.9641944048839578
O70318,EPB41L2,-0.03484053027609111,0.12774239452893404,0.8983528389273004,0.9712469157259978,-0.19885600191248318,0.5990465920254104,0.549141815164009,0.8628826100031162
O70325,GPX4,0.30215256669606283,-1.7638105997461322,0.07776387231050477,0.30324656482590145,-0.014077141282887973,-0.2593918848791811,0.7953328904299124,0.9583189100803583
O70373,XIRP1,0.017194943189570086,-0.5198262567471366,0.6031846770093379,0.8479157148909546,-0.37328323116966955,4.815980189845433,1.464790561924849e-06,0.00012419882080320693
O70400,PDLIM1,0.21844996722264265,-3.8978693760225798,9.704273442550675e-05,0.002713525186163579,0.02186177732466198,-0.48094208257476007,0.6305576625691394,0.8902965770367077
O70433,FHL2,0.01226252516558303,-0.6876095708313235,0.4916986795361331,0.7793591315096532,0.2778132745910001,-4.597496826549248,4.275971390089856e-06,0.00028702457955978155
O70439,STX7,0.030074413059425202,-0.08808747505054708,0.9298071511426891,0.9791867399604364,-0.4320460859078926,1.4382406722740189,0.15036577872849854,0.5347445243523425
O70468,MYBPC3,0.30607830793507007,-7.221767606619025,5.131611617129332e-13,7.971103378607561e-11,0.020908030936155588,-0.4323368882053423,0.6654965804957453,0.9062679553496583
O70492,SNX3,0.3655470206333811,-2.1545138311857714,0.03119989848374728,0.1752881390622314,-0.14451039191908233,0.5600120889820882,0.5754711919331055,0.8722359696857073
O70493,SNX12,0.24122320518051174,-1.7321559884020894,0.0832457928035289,0.31602883459425224,0.00850086196735072,-0.5287660235850351,0.5969677699886289,0.8793267904043917
O70548,TCAP,-0.004985196823074854,0.28848203095729547,0.7729777833533795,0.9288637387948129,0.5652533757893335,-4.067114940143465,4.7598768974130764e-05,0.0023236853581007472
O70571,PDK4,,,,,-0.08609444828532087,0.3372884400243085,0.7358994732017841,0.93585161698451
O70591,PFDN2,0.5447438845509165,-1.5816243758910318,0.11373534592536133,0.3797190281734431,0.22967319822004287,-0.547536086696525,0.5840104853178361,0.8775827076926043
O70622,RTN2,-0.3240706367276616,1.6357772230516974,0.10188622065118957,0.356685305759302,-0.06401387751659521,0.33395717275352593,0.7384118762788787,0.93585161698451
O88271,CFDP1,-0.2952561832988444,1.4658483685032901,0.14268960059368452,0.4303776949945436,-0.5953053887219342,2.8596932508137103,0.004240509632999999,0.07347896171551421
O88322,NID2,-0.088331265527926,0.5742134870034906,0.565823343776686,0.8215926951613366,-0.48168453275884143,1.4493004102233147,0.14725370658386314,0.5316661801267443
O88342,WDR1,0.3517374076669012,-2.4992242578590713,0.01244655191885024,0.100434514185008,0.32389549076170066,-1.9535673258291908,0.05075240791141594,0.3231704709300043
O88441,MTX2,-0.03451234933167429,0.5088413684808374,0.6108634199065222,0.8560283934215847,,,,
