,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
5056,Q9CXT8,PMPCB,60,0.1521026913970436,1.5431063840822127e-12,4.557100036780926
5057,Q9CXW2,MRPS22,8,0.039884633713846,1.0046598601176643e-37,17.378802712166276
5058,Q9CXW2,MRPS22,21,0.030259873244129487,2.2947981476272917e-25,22.906479976561634
5059,Q9CXW2,MRPS22,60,0.03614719337174438,1.767555045969118e-25,19.17568463563664
5060,Q9CXW3,CACYBP,8,0.29294584151697467,1.047395205968675e-13,2.3661273939598866
5061,Q9CXW3,CACYBP,21,0.30195729286242795,1.572470851370792e-27,2.2955139582462207
5062,Q9CXW4,RPL11,8,0.06113353239836772,9.086067112663492e-55,11.338248476190662
5063,Q9CXW4,RPL11,21,0.06801285250504305,1.6546071685390512e-45,10.191414637528245
5064,Q9CXW4,RPL11,60,0.06118371958878584,6.950156656806191e-37,11.328948047267625
5065,Q9CXX9,CUEDC2,8,0.5680940055925382,7.252990963882616e-06,1.2201276086991502
5066,Q9CXX9,CUEDC2,21,0.7317856207899042,1.3727038892816588e-20,0.9471997821052404
5067,Q9CXX9,CUEDC2,60,0.515779042693818,0.0005057407286921498,1.3438839564705198
5068,Q9CXY6,ILF2,8,0.07921423163460842,0.003872453341995451,8.750285980898308
5069,Q9CXZ1,NDUFS4,8,0.04934303919233245,1.0619694214542938e-125,14.047516973126685
5070,Q9CXZ1,NDUFS4,21,0.03722500964970983,8.38836951519657e-30,18.62047013775182
5071,Q9CXZ1,NDUFS4,60,0.04190729974686993,6.523308236987305e-36,16.540010564906815
5072,Q9CY16,MRPS28,8,0.10370364688421121,1.5327773436835001e-61,6.683922903250149
5073,Q9CY16,MRPS28,21,0.08824231894537023,2.301460448052881e-29,7.855042669368928
5074,Q9CY16,MRPS28,60,0.089616971190312,2.677530279645303e-14,7.734552633875196
5075,Q9CY34,UBE2F,8,0.18851155574172493,2.3434205073529918e-07,3.6769479612677394
5076,Q9CY50,SSR1,21,0.14045928063306012,9.49732598533619e-10,4.934862099790636
5077,Q9CY50,SSR1,60,0.0993547472467607,5.845790316724369e-06,6.976487785112293
5078,Q9CY57,CHTOP,8,0.25011093752135044,6.696064135615287e-101,2.771358931477259
5079,Q9CY57,CHTOP,21,0.2277784548332917,3.4656330009406107e-241,3.043076137588392
5080,Q9CY57,CHTOP,60,0.18894321459687094,2.429207045705277e-13,3.6685476217753754
5081,Q9CY58,SERBP1,8,0.23845507352296957,1.1989625926106848e-119,2.906825048086791
5082,Q9CY58,SERBP1,21,0.23174395542607834,2.8285745510320474e-203,2.9910043577427645
5083,Q9CY58,SERBP1,60,0.18308458962743132,2.0051059565067593e-116,3.7859395046326276
5084,Q9CY64,BLVRA,8,0.04921281680172997,1.0384051072561355e-07,14.084688209425542
5085,Q9CY64,BLVRA,21,0.0403063295952423,8.856513666404378e-08,17.196980908967788
5086,Q9CY64,BLVRA,60,0.07595618121198033,0.0003793559838265223,9.125619133293359
5087,Q9CY73,MRPL44,8,0.31438082515221016,3.272000851108659e-55,2.204801072789195
5088,Q9CYA0,CRELD2,8,0.15060778160294333,3.5279567796091836e-08,4.602333114415909
5089,Q9CYA0,CRELD2,60,0.10039120575129498,0.0016501913456220554,6.904461156459456
5090,Q9CYA6,ZCCHC8,21,0.19206889998801385,1.0714415356672403e-15,3.6088465160325356
5091,Q9CYG7,TOMM34,8,0.27137930293946183,2.770489098235823e-29,2.5541637591816264
5092,Q9CYG7,TOMM34,21,0.23685842434799217,2.700060770283763e-134,2.9264197905056317
5093,Q9CYG7,TOMM34,60,0.2209426292082252,1.2720384535554148e-42,3.1372269943737097
5094,Q9CYH2,PRXL2A,8,0.037770741023674226,0.008818157285191124,18.35143186959158
5095,Q9CYH2,PRXL2A,21,0.04266900987735654,3.82325307413425e-41,16.24474489921976
5096,Q9CYH2,PRXL2A,60,0.04645817313746496,2.300060158785451e-16,14.919811386233247
5097,Q9CYI4,LUC7L,8,0.08121410719464878,0.0024125438781749517,8.534812540617537
5098,Q9CYR0,SSBP1,8,0.03936149876198306,4.614025982580556e-74,17.60977611018753
5099,Q9CYR0,SSBP1,21,0.02467343375848328,1.1143302235044346e-17,28.092854336564553
5100,Q9CYR0,SSBP1,60,0.028048917867122707,4.084309915509169e-19,24.712082792057075
5101,Q9CYT6,CAP2,8,0.15755727707706121,1.6034290912609838e-15,4.399334600209721
5102,Q9CYT6,CAP2,21,0.23479777374373198,3.7169185129418424e-43,2.9521028649806316
5103,Q9CYT6,CAP2,60,0.14726164026353167,5.83970425942512e-13,4.706909276030918
5104,Q9CYZ2,TPD52L2,8,0.19308064553696638,1.0535658503262747e-137,3.589936104845052
5105,Q9CYZ2,TPD52L2,21,0.19879553916152143,2.3175969557387623e-235,3.486734076043643
5106,Q9CYZ2,TPD52L2,60,0.14963018389013988,1.925504777328039e-89,4.632402116600094
5107,Q9CZ13,UQCRC1,8,0.023823350903762662,1.2143062714747916e-58,29.095284847207182
5108,Q9CZ13,UQCRC1,21,0.02460862932286631,2.8495577980474914e-22,28.166834140407556
5109,Q9CZ13,UQCRC1,60,0.022847418165727953,9.694730429153257e-73,30.338096651975054
5110,Q9CZ30,OLA1,8,0.0645161188781771,2.4215275523843038e-91,10.743782989624409
5111,Q9CZ30,OLA1,21,0.05560088453120473,3.778586684553974e-78,12.466477582221417
5112,Q9CZ30,OLA1,60,0.05874997028252044,1.6315650511790675e-35,11.79825584977655
5113,Q9CZ42,NAXD,8,0.038173327290749334,2.3114346430832794e-74,18.157892689849906
5114,Q9CZ42,NAXD,21,0.025352495025701922,1.340267263916928e-34,27.34039311938508
5115,Q9CZ42,NAXD,60,0.037993928605367176,8.341525801647216e-12,18.243630127315356
5116,Q9CZ44,NSFL1C,8,0.11651356208900028,4.5697774860630284e-128,5.94906865889549
5117,Q9CZ44,NSFL1C,21,0.11489778594104548,2.43098304161965e-104,6.032728784831432
5118,Q9CZ44,NSFL1C,60,0.11370445834941005,4.206293290942448e-84,6.096042236355648
5119,Q9CZ83,MRPL55,8,0.1306138223170905,3.932500925698901e-196,5.306844009795498
5120,Q9CZ83,MRPL55,21,0.09311570393091291,3.440124697597796e-21,7.443934280668973
5121,Q9CZ83,MRPL55,60,0.1157979047461181,6.604798943866854e-14,5.985835253924849
5122,Q9CZA6,NDE1,8,0.275104041337291,9.568411373727921e-06,2.5195819632111944
5123,Q9CZA6,NDE1,21,0.24188725137299733,3.6089678619781725e-39,2.865579631111239
5124,Q9CZD3,GARS1,8,0.16129970786421347,2.0536842181583497e-10,4.297262467105369
5125,Q9CZD5,MTIF3,8,0.10705090874780834,3.6218505334183734e-07,6.47493037348117
5126,Q9CZD5,MTIF3,21,0.12838980286034848,1.7351101080967814e-07,5.3987712818119356
5127,Q9CZJ2,HSPA12B,8,0.06728825253113763,1.694001808315201e-10,10.301161859407651
5128,Q9CZJ2,HSPA12B,21,0.0662562234787724,5.980987524723999e-31,10.461616194922735
5129,Q9CZM2,RPL15,8,0.08091830702263769,4.2064046922547407e-72,8.566011895998152
5130,Q9CZM2,RPL15,21,0.07828728509009851,1.0678490259353358e-79,8.853892171151712
5131,Q9CZM2,RPL15,60,0.08306385501648757,1.504332434016559e-35,8.344750919908071
5132,Q9CZN7,SHMT2,8,0.3065679974532289,0.009867208135660678,2.2609900130417047
5133,Q9CZN7,SHMT2,21,0.09127919481617439,1.7984238334902184e-05,7.593703931721381
5134,Q9CZN7,SHMT2,60,0.1413413307328662,2.16037125480616e-08,4.90406576028343
5135,Q9CZP7,CDC37L1,21,0.25653146694030576,1.2338922386527234e-12,2.701996713413871
5136,Q9CZR8,TSFM,8,0.034041491959580054,2.3429868726965433e-35,20.361833182369605
5137,Q9CZR8,TSFM,21,0.03377432493728859,1.2269757136333918e-42,20.52290258493591
5138,Q9CZR8,TSFM,60,0.03419651058008802,2.3224098691647795e-163,20.269529516369772
5139,Q9CZS1,ALDH1B1,8,0.037184716474558045,2.3393653250083866e-48,18.640647187244248
5140,Q9CZS1,ALDH1B1,21,0.03232504217920663,1.1675287711644373e-91,21.44304025087455
5141,Q9CZU6,CS,8,0.024790596747954075,3.888653622613518e-53,27.960084527499305
5142,Q9CZU6,CS,60,0.022773874281770894,9.937127210319713e-61,30.436067749560188
5143,Q9CZW5,TOMM70,8,0.07873706544358568,0.06981831507966543,8.803314889308115
5144,Q9CZW5,TOMM70,21,0.05656659836149828,1.706132441863157e-84,12.253647923643431
5145,Q9CZX8,RPS19,8,0.07468771339015438,3.768012041307452e-138,9.280605190562957
5146,Q9CZX8,RPS19,21,0.0750492950101679,3.483531229174326e-141,9.235891962290061
5147,Q9CZX8,RPS19,60,0.08085629645855957,1.678310531643009e-112,8.57258136866554
5148,Q9CZX9,EMC4,8,0.12456382782619885,0.00017102285328601883,5.564594414416023
5149,Q9CZX9,EMC4,21,0.12901436168096406,1.5429607436632144e-21,5.372635817661984
5150,Q9CZX9,EMC4,60,0.0884761857240137,0.02556567752825299,7.8342796413274325
5151,Q9CZY3,UBE2V1,8,0.07501694149408247,1.0186971802823235e-08,9.23987524357578
5152,Q9CZY3,UBE2V1,21,0.08553751976212433,0.00034797992882024337,8.103428559625693
5153,Q9D020,NT5C3A,8,0.06302375905936895,3.9298577647533777e-178,10.998188475349341
5154,Q9D020,NT5C3A,21,0.054216257040518315,1.5615804105795582e-161,12.78485860877346
5155,Q9D020,NT5C3A,60,0.060839219594121884,1.9184760299669687e-127,11.393097827094994
5156,Q9D023,MPC2,8,0.03787690758415767,3.0244313788008765e-15,18.299993974425195
5157,Q9D023,MPC2,21,0.04408656500207317,7.388886741541879e-131,15.722412951141694
5158,Q9D023,MPC2,60,0.03921393569037612,8.207409841868214e-88,17.676042160951912
5159,Q9D024,CCDC47,8,0.2191104958025251,6.442663177964963e-22,3.163459504854798
5160,Q9D024,CCDC47,21,0.19755946396409582,1.2906801001835913e-31,3.5085496116041135
5161,Q9D024,CCDC47,60,0.2305156959722883,0.020420386463908195,3.0069413609183155
5162,Q9D051,PDHB,8,0.030984607496842474,5.328867137575885e-41,22.370694243281324
5163,Q9D051,PDHB,21,0.02666454024460289,2.892930943448323e-37,25.995092141153403
5164,Q9D051,PDHB,60,0.026622038000623897,5.81511051291454e-41,26.036593462292448
5165,Q9D0A3,ARPIN,60,0.12904125851475395,8.697554744402429e-05,5.371515967357791
5166,Q9D0B5,TSTD3,8,0.08020312231851351,5.075877117656698e-06,8.642396461913606
5167,Q9D0E1,HNRNPM,8,0.12148104954780824,2.877312179879381e-113,5.705805005307933
5168,Q9D0E1,HNRNPM,21,0.10946156614490093,4.611034982879248e-106,6.332333849877355
5169,Q9D0E1,HNRNPM,60,0.10737538222450875,1.0067117220581513e-80,6.455364034101034
5170,Q9D0F3,LMAN1,8,0.03980110186811824,0.06819226448995724,17.415276161366148
5171,Q9D0F3,LMAN1,21,0.1482025746341114,4.6378216486976944e-14,4.677025228955809
5172,Q9D0F9,PGM1,8,0.04392826980166538,6.0931424823784975e-112,15.779068551743123
5173,Q9D0F9,PGM1,21,0.037422960597425045,7.715234773989864e-175,18.52197606748512
5174,Q9D0F9,PGM1,60,0.044121268866326,7.307654024243183e-84,15.710046387377707
5175,Q9D0I9,RARS1,8,0.07523868807312553,0.0001565053566685015,9.212643100398905
5176,Q9D0I9,RARS1,21,0.08300258861609006,8.001776349287397e-28,8.350910400709823
5177,Q9D0I9,RARS1,60,0.0788691415035374,4.556044610627812e-24,8.788572657772072
5178,Q9D0J8,PTMS,8,0.09918136373072237,1.8894118784848874e-62,6.988683705154947
5179,Q9D0J8,PTMS,21,0.08593425851945317,3.1037886063483465e-134,8.066016888980728
5180,Q9D0J8,PTMS,60,0.07752767220799424,9.571568096091984e-24,8.94064223546327
5181,Q9D0K2,OXCT1,8,0.04524992819892142,1.9308865999911076e-170,15.318194042492804
5182,Q9D0K2,OXCT1,21,0.04539784780282758,7.312717122875047e-178,15.268282839539653
5183,Q9D0K2,OXCT1,60,0.041041781973414036,5.750665021623997e-90,16.88881786392586
5185,Q9D0M3,CYC1,8,0.029822939555749647,5.627220042601576e-15,23.242081125645157
5186,Q9D0Q7,MRPL45,8,0.06941760521646224,0.0005984755416046822,9.985178520614923
5187,Q9D0Q7,MRPL45,21,0.059870652122389775,6.567210131879607e-46,11.577411569578171
5188,Q9D0R8,LSM12,8,0.13938193619498074,0.00016672562796716227,4.973005824731154
5189,Q9D0R8,LSM12,60,0.1474513367848488,8.90515619726463e-06,4.700853825227367
5190,Q9D0S9,HINT2,8,0.045772183957248254,5.2947881624948845e-46,15.143415075132808
5191,Q9D0S9,HINT2,21,0.04673825503353252,6.919941406164821e-115,14.830403489874502
5192,Q9D0S9,HINT2,60,0.048979474614116024,7.583522582730747e-38,14.151788805839463
5193,Q9D0T1,SNU13,8,0.10391521529890399,2.6253782619462072e-05,6.670314626844218
5194,Q9D0T1,SNU13,60,0.07053227542772166,4.06821170026384e-06,9.827375855330965
5195,Q9D0W5,PPIL1,8,0.07505395312803051,1.259332155309257e-122,9.235318749667226
5196,Q9D0W5,PPIL1,21,0.05909095094219848,5.7171546256278024e-36,11.7301747477032
5197,Q9D0Y8,MRPL52,8,0.1156485387655341,4.368813909745186e-31,5.993566265158198
5198,Q9D0Y8,MRPL52,21,0.06517393429187825,1.1312239051788514e-61,10.635343532518995
5199,Q9D0Y8,MRPL52,60,0.06401194076355264,3.6804749480987073e-25,10.828404392866213
5200,Q9D113,DNLZ,60,0.12589843414669058,3.905720078002067e-18,5.505606048700532
5201,Q9D115,ZNF706,60,0.8665126015428389,2.6795776166937322e-12,0.7999274093946079
5202,Q9D172,GATD3,8,0.037112196694931265,8.041698227473774e-65,18.67707229129378
5203,Q9D172,GATD3,21,0.026501297045591735,1.3138569052203475e-08,26.15521720946275
5204,Q9D172,GATD3,60,0.02414421059142444,6.093389324873892e-39,28.708628842317083
5205,Q9D187,CIAO2B,8,0.23134242737122826,0.005631142002332074,2.996195675978072
5206,Q9D187,CIAO2B,21,0.3754059029480687,4.7847027146114645e-05,1.846393930187696
5207,Q9D187,CIAO2B,60,0.1760330605237711,0.03158483724307449,3.9375965997384013
5208,Q9D1A2,CNDP2,8,0.09156612337832827,2.3261421826842746e-18,7.569908553363506
5209,Q9D1A2,CNDP2,21,0.0690845425591121,1.7490119285133978e-22,10.033317944703112
5210,Q9D1A2,CNDP2,60,0.06380453114280343,1.2967983870410425e-72,10.863604326291268
5211,Q9D1B9,MRPL28,8,0.16206532235119547,0.16736149200475559,4.276961724469937
5212,Q9D1C3,PYURF,21,0.05739967377002896,6.791886692713975e-19,12.075803485173633
5213,Q9D1C3,PYURF,60,0.05967353603198395,1.700385970152008e-44,11.6156545539455
5214,Q9D1D4,TMED10,8,0.10478780633859285,1.2107905880621315e-14,6.614769454379374
5215,Q9D1D4,TMED10,21,0.08759783266398535,2.9139154491201965e-19,7.912834821139624
5216,Q9D1D4,TMED10,60,0.0724010875736575,6.300954939908973e-18,9.57371227130766
5218,Q9D1E6,TBCB,21,0.23017999340951437,2.2848061224782774e-53,3.0113267894954
5219,Q9D1E6,TBCB,60,0.1827510629472682,2.7475408427887474e-17,3.7928489683255577
5220,Q9D1F4,AKT1S1,8,0.20247682293409028,1.221686334068802e-25,3.4233408570697335
5221,Q9D1F4,AKT1S1,21,0.18815679831342014,9.664374326134588e-34,3.683880607945629
5222,Q9D1F4,AKT1S1,60,0.13448117275571592,5.956963455506434e-15,5.1542321230276755
5223,Q9D1G1,RAB1B,8,0.10984060959394902,1.1328631031621227e-163,6.310481916682024
5224,Q9D1G1,RAB1B,21,0.13416006079317963,1.0364731556746568e-76,5.166568772121361
5225,Q9D1G1,RAB1B,60,0.09491321966954791,1.260295951756798e-15,7.302957195775496
5226,Q9D1G5,LRRC57,8,0.12551783121899265,7.555212500288656e-08,5.522300487733906
5227,Q9D1G5,LRRC57,21,0.11002121437674783,1.433166639170338e-18,6.30012297615974
5228,Q9D1G5,LRRC57,60,0.10708019097155023,1.3568405310833911e-05,6.473159734503136
5229,Q9D1H6,NDUFAF4,21,0.02138330663520854,7.103456762596552e-08,32.41534119978659
5230,Q9D1H8,MRPL53,8,0.08757814414787983,2.2299247475195685e-22,7.914613712178389
5231,Q9D1H8,MRPL53,21,0.04437431614833024,2.1949545940531406e-54,15.620458876322935
5232,Q9D1H8,MRPL53,60,0.04984203005144298,5.254050368466141e-14,13.90688099671169
5233,Q9D1I5,MCEE,8,0.04101996236371455,1.202969598454036e-59,16.89780147563201
5234,Q9D1I5,MCEE,21,0.0354034038159714,3.593485978134365e-109,19.578546293541653
5235,Q9D1I5,MCEE,60,0.036971850183108224,4.635985666424795e-29,18.7479711490509
5236,Q9D1I6,MRPL14,8,0.08944866101830103,1.5612461162991487e-234,7.749106276930503
5237,Q9D1I6,MRPL14,21,0.07358805915942114,1.5592539617948603e-256,9.419288787849554
5238,Q9D1I6,MRPL14,60,0.0681593695456435,0.0,10.169506924440864
5239,Q9D1J1,NECAP2,8,0.1883973700855395,7.612482076762092e-12,3.6791765205917173
5240,Q9D1J1,NECAP2,21,0.18033202005480134,1.022161258222423e-15,3.8437276993254104
5241,Q9D1J1,NECAP2,60,0.13116538080876805,1.760312074935373e-18,5.284528404415766
5242,Q9D1J3,SARNP,8,0.17874985229449364,2.6201303204420315e-29,3.877749668950622
5243,Q9D1J3,SARNP,21,0.1292646207443152,2.7481806837864434e-63,5.36223428010505
5244,Q9D1J3,SARNP,60,0.14163419577094036,4.3522070991834906e-47,4.89392534611448
5245,Q9D1K2,ATP6V1F,8,0.4811049893872762,1.1113286912116171e-05,1.4407399545839692
5246,Q9D1K2,ATP6V1F,21,0.29633229310399034,2.0322907503474664e-12,2.339087560452626
5247,Q9D1K2,ATP6V1F,60,0.24842478970209683,3.1153135613878403e-16,2.79016913485625
5248,Q9D1L0,CHCHD2,8,0.4494743162087514,3.1096212392715395e-24,1.5421285612191105
5249,Q9D1L0,CHCHD2,21,0.5631515182867517,3.819237885021821e-64,1.2308360326696322
5250,Q9D1L0,CHCHD2,60,0.39549507820996926,1.0000673736491988e-28,1.7526063375988508
5251,Q9D1L9,LAMTOR5,8,0.1714816867022004,3.208249420429332e-05,4.04210615074998
5252,Q9D1L9,LAMTOR5,21,0.19876696787125836,6.995685524153903e-05,3.4872352684320145
5253,Q9D1N2,GPIHBP1,8,0.17742599312191662,1.9003416024780355e-18,3.9066833915572654
5254,Q9D1N2,GPIHBP1,21,0.13409647136555758,0.006602076712174569,5.169018792973092
5255,Q9D1P0,MRPL13,8,0.057103922705499306,1.9005093289492315e-06,12.138346154163465
5256,Q9D1P0,MRPL13,21,0.033540425612302326,6.829647707207516e-22,20.666022207711794
5257,Q9D1P4,CHORDC1,8,0.20225821352270681,0.0012429200692026274,3.4270409516997344
5258,Q9D1P4,CHORDC1,21,0.17907003781200587,1.9275686328672265e-09,3.870816073025215
5259,Q9D1P4,CHORDC1,60,0.09420024394545147,3.9903444919918e-23,7.358231269139027
5260,Q9D1Q6,ERP44,8,0.10458613463070572,1.4307969942831657e-25,6.627524604551571
5261,Q9D1Q6,ERP44,21,0.12273909429166102,1.7307326213103854e-61,5.64732194383675
5262,Q9D1Q6,ERP44,60,0.10197075281798434,3.3246549967019395e-18,6.797509691795631
5263,Q9D1R9,RPL34,8,0.075343840600237,0.003729212878419776,9.199785610049789
5264,Q9D1R9,RPL34,21,0.059350466930169765,0.0003126219850142422,11.678883358668172
5265,Q9D1X0,NOL3,8,0.10657210389500688,2.8255895862238817e-62,6.50402080119224
5266,Q9D1X0,NOL3,21,0.09690627504279373,4.222103293660418e-43,7.152758479818279
5267,Q9D1X0,NOL3,60,0.07845748325515581,2.328026689373891e-39,8.834685383747576
5268,Q9D273,MMAB,8,0.033597454032106754,1.4613143639532433e-31,20.630943639287448
5269,Q9D273,MMAB,21,0.02541319875050975,5.125733408893118e-12,27.27508596477025
5270,Q9D273,MMAB,60,0.02460486424851663,1.178163560064478e-82,28.171144272894473
5271,Q9D287,BCAS2,8,0.21020617410718653,3.6647595272236856e-10,3.297463471298905
5272,Q9D2G2,DLST,8,0.030877148352844122,3.0556510645023065e-20,22.448549090061903
5273,Q9D2G2,DLST,21,0.05695560829837124,2.1816424025259633e-99,12.169954834452486
5274,Q9D2G2,DLST,60,0.03705951079920903,9.321931716545602e-37,18.703624673176726
5275,Q9D2N4,DTNA,8,0.02938649194898847,2.5891308413415974e-15,23.58727206238731
5276,Q9D2N4,DTNA,21,0.030703915676549957,6.263505260674808e-25,22.575204669720183
5277,Q9D2N4,DTNA,60,0.024935103879898834,2.2718110947094227e-45,27.798046637323953
