,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
2123,P34022,RANBP1_MOUSE,8,0.07889018639473977,2.2535023101075742e-35,8.786228201967626
2124,P34022,RANBP1_MOUSE,21,0.11155487488759186,2.369825909577988e-58,6.213508654448264
2125,P34022,RANBP1_MOUSE,60,0.16552667801938317,5.551228036847585e-49,4.187525472351821
2126,P34152,PTK2_MOUSE,8,0.15491286344361882,1.3728069656180815e-59,4.4744326917191035
2127,P34152,PTK2_MOUSE,21,0.07477641088476861,1.4467957184223874e-32,9.269596820153536
2128,P34152,PTK2_MOUSE,60,0.11810518973330834,1.732361100764894e-18,5.868896888656046
2129,P34884,MIF_MOUSE,8,0.08869741898352611,7.654809876206375e-66,7.814739013867861
2130,P34884,MIF_MOUSE,21,0.10225988748545271,1.027585127225794e-93,6.778290076434428
2131,P34884,MIF_MOUSE,60,0.11404422431368551,4.553785661818409e-66,6.077880618078494
2132,P34902,IL2RG_MOUSE,21,0.48990830159277016,6.60902483262171e-23,1.4148508574082397
2133,P34902,IL2RG_MOUSE,60,0.6782506747501675,1.3665629206494914e-11,1.0219631271509828
2134,P34914,EPHX2_MOUSE,8,0.2510334864593192,1.758194910782056e-15,2.7611741777417094
2135,P34914,EPHX2_MOUSE,21,0.2269611457306825,0.00018929676548771535,3.0540345499597112
2136,P34914,EPHX2_MOUSE,60,0.44797148480004645,1.960234655094608e-05,1.5473020138086107
2137,P34928,APOC1_MOUSE,60,0.8845171495515508,0.013549985632305398,0.7836447048102686
2138,P35123,USP4_MOUSE,8,0.2225475779358161,4.3429961950245445e-07,3.1146022211926865
