Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
Q9D1X0,NOL3_MOUSE,0.7265661834457631,0.0009138940247388879,0.0064494616962998096,0.46342325245247273,0.093368670833769,0.26898870433578215
Q9D273,MMAB_MOUSE,0.45405664405924323,0.19136605497229686,0.3635622619363671,-0.02433921928726983,0.6629002845401979,0.8398476833269122
Q9D281,FAM114A1_MOUSE,0.40512293660345244,0.01642343283222526,0.06222319067266867,-0.1452329822704927,0.35481309820940987,0.6109088015183954
Q9D287,BCAS2_MOUSE,-0.4707254607608142,0.06462553833824743,0.16748530117518942,,,
Q9D2E2,TOE1_MOUSE,0.031655451247443456,0.709825819388308,0.8279198412417486,-0.6433877277715448,0.030517587395751,0.1314666616325659
Q9D2G2,DLST_MOUSE,0.13458486084813678,0.3430889316794187,0.5279076332675343,-0.08178659330735301,0.5204665275748892,0.7545822009869777
Q9D2N9,VPS33A_MOUSE,0.08467162767015413,0.7606225585894711,0.8556022258232462,1.1755117969510855,0.06801124937877066,0.2173388286999841
Q9D2R6,COA3_MOUSE,-0.41722943236559945,0.15601598166532507,0.31453856365237653,,,
Q9D2U5,NAA38_MOUSE,0.44197495258765407,,,-0.15393151064503052,0.9328493292156146,0.9845553104020491
Q9D2V7,CORO7_MOUSE,0.5082281410054388,0.0009140504994755902,0.0064494616962998096,0.18980908134863977,0.3942138501361101,0.6480961373197269
Q9D358,ACP1_MOUSE,-0.6050039114439484,0.11445747551357048,0.25143619680621615,0.37015056315296385,0.5442769821704714,0.7702570809109143
Q9D379,EPHX1_MOUSE,0.5319746584685549,0.32422700727282094,0.5087464423061336,1.4124279624959986,1.2248309768559177e-06,5.1861922151609776e-05
Q9D3D9,ATP5F1D_MOUSE,1.1151561598617483,1.0342134327238984e-07,3.77028252529679e-06,0.36213984110355624,0.060607855978617266,0.2015583979426805
Q9D4H1,EXOC2_MOUSE,-0.1983149630054192,0.22146838325040774,0.3996907400685301,0.03191760909593263,0.7960437885426506,0.9205990954931248
Q9D4H8,CUL2_MOUSE,,,,-0.05073884432593384,0.8740731444106118,0.9580230121802028
Q9D4J1,EFHD1_MOUSE,0.06746816366093761,0.5639303320811391,0.7208443031232078,0.11726302470579746,0.4056332621789819,0.6566834591459801
Q9D554,SF3A3_MOUSE,0.6765944989266119,0.0010539375414088754,0.0072041022361719175,0.6740910157018708,0.07802019037878061,0.23798006885205306
Q9D5V5,CUL5_MOUSE,0.08464690181271055,0.6908103177046512,0.8165305192815246,,,
Q9D5V6,SYAP1_MOUSE,0.7896566618470717,0.0018665105586107315,0.011598524891670094,0.33152102622269436,0.21381642060466488,0.4462135158922254
Q9D620,RAB11FIP1_MOUSE,0.36104065056156426,0.09607617182363336,0.22261717496704878,-0.14670469891564433,0.18622491625368964,0.4142716031253858
Q9D662,SEC23B_MOUSE,-0.2752211761800758,0.2594857968432973,0.4421918958853206,-0.309001789978333,0.2823385582426301,0.5331957044746383
Q9D666,SUN1_MOUSE,0.2902573716048722,0.30652660941582555,0.4915512245812921,2.265063522470162,0.008494385875981815,0.05555880843274285
Q9D6F9,TUBB4A_MOUSE,-0.19950270924759791,0.07560849226829071,0.1877906609631051,-0.14095978644158366,0.20399877551187828,0.4355671375253542
Q9D6J6,NDUFV2_MOUSE,-0.30800155818035635,0.003265396943111797,0.01856639561355839,1.3227182350901037,1.1015881502888156e-07,7.234511566590631e-06
Q9D6N5,DRAP1_MOUSE,0.12309578167102748,0.4365831345399481,0.6118877678024647,0.048523851750330665,0.6762928220707636,0.8484640551359521
Q9D6R2,IDH3A_MOUSE,0.19701144372341545,0.09654677997254803,0.2232346617969909,0.25746468774244885,0.23957337177860427,0.4824450002400179
Q9D6S7,MRRF_MOUSE,0.5673840204477723,0.02136082302019009,0.07568559430803853,0.5317265239906174,0.02056367291806907,0.10072130814360163
Q9D6T0,NOSIP_MOUSE,-0.7850613411654916,0.23427826190419598,0.41662166791743466,-0.05770444212421839,0.9165527793916449,0.9789136555201836
Q9D6U8,FAM162A_MOUSE,1.5327622721652339,0.02343266614565113,0.0811854040378895,2.1362068625642023,2.905907319036187e-11,4.250549887572023e-09
